ID,sim_num,block_order,learning_trial,sim_choice,sim_approach_reward
5641,2,9,49,2,-0.27273
5641,2,9,50,2,-0.18182
5641,2,9,51,1,0.18182
5641,2,10,1,2,-0.18182
5641,2,10,2,2,0.36364
5641,2,10,3,1,0.090909
5641,2,10,4,2,-0.36364
5641,2,10,5,2,0.18182
5641,2,10,6,2,0.72727
5641,2,10,7,2,0.090909
5641,2,10,8,1,0.72727
5641,2,10,9,2,0.81818
5641,2,10,10,1,-0.81818
5641,2,10,11,1,0.45455
5641,2,10,12,1,0.18182
5641,2,10,13,2,-0.36364
5641,2,10,14,2,-0.18182
5641,2,10,15,2,-0.81818
5641,2,10,16,1,0.090909
5641,2,10,17,2,0.090909
5641,2,10,18,1,0.72727
5641,2,10,19,2,-0.18182
5641,2,10,20,2,-0.81818
5641,2,10,21,1,0.18182
5641,2,10,22,1,0.18182
5641,2,10,23,1,0.72727
5641,2,10,24,2,0.090909
5641,2,10,25,2,-0.36364
5641,2,10,26,1,-0.54545
5641,2,10,27,2,0.36364
5641,2,10,28,2,-0.81818
5641,2,10,29,2,-0.45455
5641,2,10,30,1,0.72727
5641,2,10,31,1,0.81818
5641,2,10,32,1,0.090909
5641,2,10,33,1,0.18182
5641,2,10,34,2,-0.72727
5641,2,10,35,2,-0.18182
5641,2,10,36,1,0.81818
5641,2,10,37,1,0.45455
5641,2,10,38,2,-0.36364
5641,2,10,39,2,-0.81818
5641,2,10,40,2,-0.36364
5641,2,10,41,1,0.45455
5641,2,10,42,2,-0.18182
5641,2,10,43,2,0.54545
5641,2,10,44,1,0.27273
5641,2,10,45,1,0.18182
5641,2,10,46,1,0.72727
5641,2,10,47,1,0.36364
5641,2,10,48,2,-0.81818
5641,2,10,49,2,-0.27273
5641,2,10,50,2,-0.18182
5641,2,10,51,2,-0.36364
5641,2,11,1,1,-0.090909
5641,2,11,2,2,0.090909
5641,2,11,3,1,0.45455
5641,2,11,4,1,-0.27273
5641,2,11,5,1,-0.090909
5641,2,11,6,1,0.54545
5641,2,11,7,1,0.54545
5641,2,11,8,2,-0.090909
5641,2,11,9,2,-0.090909
5641,2,11,10,2,-0.090909
5641,2,11,11,2,-0.36364
5641,2,11,12,1,0.63636
5641,2,11,13,1,0.18182
5641,2,11,14,1,0.63636
5641,2,11,15,2,-0.090909
5641,2,11,16,1,0.63636
5641,2,11,17,2,-0.18182
5641,2,11,18,1,-0.090909
5641,2,11,19,2,0.090909
5641,2,11,20,1,0.090909
5641,2,11,21,2,0.18182
5641,2,11,22,2,-0.090909
5641,2,11,23,2,-0.27273
5641,2,11,24,2,-0.18182
5641,2,11,25,1,0.54545
5641,2,11,26,2,0.090909
5641,2,11,27,1,0.63636
5641,2,11,28,2,-0.36364
5641,2,11,29,1,0.54545
5641,2,11,30,1,-0.090909
5641,2,11,31,2,-0.27273
5641,2,11,32,2,-0.090909
5641,2,11,33,1,0.27273
5641,2,11,34,2,-0.27273
5641,2,11,35,2,-0.27273
5641,2,11,36,2,0.090909
5641,2,11,37,1,0.54545
5641,2,11,38,1,0.45455
5641,2,11,39,2,0.18182
5641,2,11,40,2,0.54545
5641,2,11,41,1,0.72727
5641,2,11,42,2,-0.27273
5641,2,11,43,1,-0.090909
5641,2,11,44,1,0.63636
5641,2,11,45,1,0.45455
5641,2,11,46,1,-0.18182
5641,2,11,47,1,0.45455
5641,2,11,48,1,0.63636
5641,2,11,49,1,-0.090909
5641,2,11,50,2,-0.27273
5641,2,11,51,2,-0.54545
5641,2,12,1,1,-0.090909
5641,2,12,2,2,0.090909
5641,2,12,3,2,0.54545
5641,2,12,4,2,-0.45455
5641,2,12,5,1,-0.090909
5641,2,12,6,2,-0.18182
5641,2,12,7,1,0.090909
5641,2,12,8,2,-0.36364
5641,2,12,9,1,0.54545
5641,2,12,10,2,-0.45455
5641,2,12,11,2,-0.27273
5641,2,12,12,1,0.36364
5641,2,12,13,1,0.36364
5641,2,12,14,1,0.27273
5641,2,12,15,2,0.090909
5641,2,12,16,1,-0.090909
5641,2,12,17,2,0.090909
5641,2,12,18,1,0.090909
5641,2,12,19,2,0.18182
5641,2,12,20,2,-0.18182
5641,2,12,21,1,0.27273
5641,2,12,22,1,0.090909
5641,2,12,23,2,-0.090909
5641,2,12,24,2,-0.36364
5641,2,12,25,1,0.36364
5641,2,12,26,1,0.54545
5641,2,12,27,2,0.090909
5641,2,12,28,1,0.36364
5641,2,12,29,2,-0.45455
5641,2,12,30,1,0.45455
5641,2,12,31,2,-0.27273
5641,2,12,32,2,-0.45455
5641,2,12,33,2,0.18182
5641,2,12,34,2,-0.18182
5641,2,12,35,1,0.27273
5641,2,12,36,2,-0.090909
5641,2,12,37,2,-0.36364
5641,2,12,38,2,-0.36364
5641,2,12,39,1,0.27273
5641,2,12,40,1,0.45455
5641,2,12,41,1,0.090909
5641,2,12,42,2,0.18182
5641,2,12,43,1,0.18182
5641,2,12,44,1,-0.18182
5641,2,12,45,2,0.27273
5641,2,12,46,1,0.27273
5641,2,12,47,1,0.27273
5641,2,12,48,2,0.18182
5641,2,12,49,1,0.090909
5641,2,12,50,1,-0.090909
5641,2,12,51,1,0.45455
5641,3,13,1,2,0.45455
5641,3,13,2,2,0.090909
5641,3,13,3,2,0.63636
5641,3,13,4,1,0.45455
5641,3,13,5,2,-0.090909
5641,3,13,6,1,0.090909
5641,3,13,7,2,-0.090909
5641,3,13,8,1,0.45455
5641,3,13,9,1,-0.36364
5641,3,13,10,2,-0.63636
5641,3,13,11,2,-0.54545
5641,3,13,12,2,-0.090909
5641,3,13,13,2,-0.72727
5641,3,13,14,1,0.45455
5641,3,13,15,2,-0.45455
5641,3,13,16,2,-0.72727
5641,3,13,17,2,-0.27273
5641,3,13,18,2,-0.27273
5641,3,13,19,2,0.18182
5641,3,13,20,2,-0.090909
5641,3,13,21,1,-0.090909
5641,3,13,22,1,-0.090909
5641,3,13,23,2,-0.18182
5641,3,13,24,1,0.63636
5641,3,13,25,2,-0.45455
5641,3,13,26,2,-0.63636
5641,3,13,27,1,0.63636
5641,3,13,28,1,0.36364
5641,3,13,29,2,-0.36364
5641,3,13,30,2,-0.27273
5641,3,13,31,2,-0.45455
5641,3,13,32,2,-0.54545
5641,3,13,33,1,0.45455
5641,3,13,34,1,0.63636
5641,3,13,35,1,0.63636
5641,3,13,36,2,-0.45455
5641,3,13,37,2,-0.54545
5641,3,13,38,1,0.090909
5641,3,13,39,2,0.090909
5641,3,13,40,2,0.090909
5641,3,13,41,2,-0.72727
5641,3,13,42,2,0.27273
5641,3,13,43,1,0.63636
5641,3,13,44,1,0.45455
5641,3,13,45,1,-0.090909
5641,3,13,46,1,0.54545
5641,3,13,47,2,-0.54545
5641,3,13,48,1,0.72727
5641,3,13,49,2,-0.54545
5641,3,13,50,1,0.36364
5641,3,13,51,1,0.72727
5641,3,14,1,2,0.36364
5641,3,14,2,2,-0.81818
5641,3,14,3,1,-0.36364
5641,3,14,4,1,0.72727
5641,3,14,5,2,-0.27273
5641,3,14,6,1,-0.72727
5641,3,14,7,1,-0.45455
5641,3,14,8,2,0.54545
5641,3,14,9,2,-0.36364
5641,3,14,10,1,0.54545
5641,3,14,11,1,0.36364
5641,3,14,12,2,-0.72727
5641,3,14,13,1,0.72727
5641,3,14,14,2,-0.63636
5641,3,14,15,2,-0.63636
5641,3,14,16,2,-0.72727
5641,3,14,17,2,0.18182
5641,3,14,18,2,-0.27273
5641,3,14,19,2,-0.81818
5641,3,14,20,2,-0.63636
5641,3,14,21,1,0.72727
5641,3,14,22,2,-0.36364
5641,3,14,23,1,0.54545
5641,3,14,24,1,0.36364
5641,3,14,25,2,-0.45455
5641,3,14,26,2,-0.72727
5641,3,14,27,2,-0.36364
5641,3,14,28,2,-0.45455
5641,3,14,29,1,0.54545
5641,3,14,30,2,-0.81818
5641,3,14,31,1,0.72727
5641,3,14,32,1,0.54545
5641,3,14,33,2,0.090909
5641,3,14,34,2,0.81818
5641,3,14,35,1,0.36364
5641,3,14,36,2,-0.27273
5641,3,14,37,2,-0.36364
5641,3,14,38,1,0.45455
5641,3,14,39,1,-0.090909
5641,3,14,40,2,-0.63636
5641,3,14,41,1,0.72727
5641,3,14,42,1,0.36364
5641,3,14,43,2,-0.72727
5641,3,14,44,1,0.54545
5641,3,14,45,2,-0.36364
5641,3,14,46,2,-0.72727
5641,3,14,47,2,0.27273
5641,3,14,48,1,0.72727
5641,3,14,49,2,-0.63636
5641,3,14,50,1,0.36364
5641,3,14,51,2,-0.63636
5641,3,15,1,2,-0.090909
5641,3,15,2,2,-0.45455
5641,3,15,3,2,-0.36364
5641,3,15,4,2,0.27273
5641,3,15,5,2,0.36364
5641,3,15,6,2,-0.45455
5641,3,15,7,2,0.63636
5641,3,15,8,1,-0.27273
5641,3,15,9,2,0.18182
5641,3,15,10,2,-0.27273
5641,3,15,11,2,-0.090909
5641,3,15,12,1,0.63636
5641,3,15,13,2,-0.36364
5641,3,15,14,1,-0.18182
5641,3,15,15,1,0.36364
5641,3,15,16,2,-0.36364
5641,3,15,17,2,-0.090909
5641,3,15,18,2,-0.45455
5641,3,15,19,1,-0.81818
5641,3,15,20,2,-0.090909
5641,3,15,21,2,-0.63636
5641,3,15,22,1,0.36364
5641,3,15,23,2,-0.27273
5641,3,15,24,2,-0.45455
5641,3,15,25,1,0.36364
5641,3,15,26,1,0.18182
5641,3,15,27,2,-0.090909
5641,3,15,28,1,0.27273
5641,3,15,29,2,-0.45455
5641,3,15,30,2,-0.27273
5641,3,15,31,2,-0.45455
5641,3,15,32,1,0.63636
5641,3,15,33,2,0.45455
