sim_beta_c_c,sim_beta_e_c,sim_beta_c_e,sim_beta_e_e,sim_alpha_choice,sim_alpha_cf,sim_q_init,fit_beta_c_c,fit_beta_e_c,fit_beta_c_e,fit_beta_e_e,fit_alpha_choice,fit_alpha_cf,fit_q_init
1.406,1.6014,2.4192,-2.6429,0.70603,-1.1642,-5.2536,0.99884,1.4601,2.3537,-1.2146,1.0946,-1.4387,-3.5212
-2.4949,2.2422,0.6926,2.1633,-5.5904,0.55952,-4.2763,-2.0536,2.2067,0.46094,2.2379,-4.681,0.72245,-3.78
0.56477,-1.8437,1.4576,-1.0387,-4.8997,-0.13056,-3.882,-0.099706,-1.4533,1.1975,-1.7364,-2.257,-0.097752,-1.3949
0.47002,1.0777,-1.8534,-1.3534,-3.7432,1.165,0.23731,0.31256,1.0247,-1.2791,-1.432,-2.0201,1.0134,2.0996
-1.7931,0.24586,-0.85487,0.42334,-2.5055,-0.26367,2.3213,-0.56633,0.25104,-1.959,0.65822,-3.537,-0.32479,2.6478
-0.80594,1.0328,2.2748,-1.2792,-6.0378,1.8876,1.9575,-1.3045,1.1697,2.0242,-1.8766,-3.8206,1.8407,2.7205
-0.62106,-0.49494,-0.59876,-0.18717,-4.2043,1.7168,0.48176,-0.34074,-0.64976,-1.6088,-0.54286,0.14894,1.1765,0.19037
1.0303,1.6884,1.2502,0.54641,-2.5799,1.0686,-4.3107,1.1903,1.1564,1.2798,0.78359,-2.4998,0.75458,-1.3848
-1.5898,-0.06379,-0.46465,-0.52227,-5.7406,1.8674,-5.0368,-0.62011,-0.2142,-1.0183,-0.748,0.8464,-2.1702,2.0887
0.4542,-1.224,-0.3229,-0.51668,-1.738,1.6536,1.4149,-0.11318,-0.35349,0.19635,-0.88606,2.0703,-2.175,-0.044646
2.4823,-0.46998,1.6189,-0.1259,-6.5507,-0.57361,-5.357,2.0098,-1.0246,1.3656,0.19785,-3.3511,-0.39872,-2.9711
0.78062,0.8345,0.86628,-1.7579,-4.816,-0.56131,-1.7987,0.01863,1.7694,1.1615,-1.4625,-3.1585,-1.2056,-2.5372
-2.0491,-1.2681,-1.9216,0.85901,-4.1616,-1.1434,2.4472,-2.4737,-2.0363,-1.385,0.67777,-2.52,-0.68713,0.67121
-0.75479,-0.43854,-0.32882,-1.6314,-1.0168,0.74185,1.2893,-0.5185,-1.4945,0.052317,-1.0358,1.4057,-0.38782,-0.9204
0.43138,-1.9819,-0.60678,-1.6802,-3.8649,-1.6901,-5.1799,-0.53066,-1.8003,-2.0889,-2.2632,1.3119,-1.4661,-0.26083
-0.45812,1.4649,1.8834,0.26729,0.60969,-1.533,3.8861,0.0005298,1.2552,1.792,-0.027205,1.2481,-1.5255,2.0533
0.44805,0.7315,0.62587,-0.98528,-0.93892,0.5644,-3.9892,0.38052,0.70621,1.0034,-0.00050066,-1.7522,0.34097,-0.3336
-0.22747,-0.79912,0.59371,-1.0745,0.9418,2.1706,-1.7744,-0.063466,-0.45554,0.60159,-1.333,1.7008,2.2737,0.056498
-0.25386,0.52503,-0.48636,-2.4977,-2.7098,-0.23704,-0.69931,-0.2656,0.25167,-0.6127,-1.9563,-0.073313,-1.9884,1.1494
-2.3423,0.96122,-2.2486,1.8967,-3.0744,-1.4637,-4.6547,-1.0981,0.98318,0.54128,1.6026,-2.3747,-1.5317,-1.1138
2.4939,0.61081,2.7386,-1.7219,-3.0866,-1.7965,-3.7654,2.1094,-1.162,2.4412,-1.2229,-2.3352,-1.3411,-2.4456
-2.5051,0.26537,-0.19058,-0.68923,-5.0623,-0.039121,0.59903,-1.889,0.2037,0.14035,0.15105,-1.9097,-1.0957,-1.0589
0.73509,-1.4016,0.46232,-0.53957,-3.4839,0.5099,1.6832,0.63843,-1.7807,0.23825,0.15502,-2.1347,0.60858,2.3788
1.7552,0.13922,0.023306,1.9291,-3.3698,1.5374,-3.1202,2.5128,0.30848,0.02354,2.0193,-3.0073,2.2477,-3.5616
0.34199,-1.1579,-1.8015,1.9334,-0.96797,2.0859,-3.284,0.59178,-1.5781,0.2174,1.9087,-1.5444,0.73241,-0.80977
-2.0323,0.19504,-0.32213,0.74875,-0.68486,1.3171,1.6567,-0.96166,-0.1466,-0.15555,0.79762,-0.66947,2.3905,1.6103
-0.31954,-1.2461,-0.76559,1.421,-4.6873,1.3349,-2.4231,0.0096676,-2.1609,-0.85693,1.262,-2.2624,1.2935,-1.1252
2.6896,-1.6143,2.0109,-2.8067,0.91888,-0.7902,-3.4333,2.5056,-2.0227,2.0236,-0.60472,1.2465,-0.64729,-2.9047
-2.0742,-0.22244,0.49985,1.0442,1.6127,0.38483,3.5524,-0.66587,-0.67553,0.1515,0.96631,2.113,0.38761,1.1824
0.57366,-1.33,-0.72952,1.7513,0.5195,-0.8316,-1.64,0.31032,-0.57036,-1.6815,1.6896,0.47297,0.55568,0.19564
-1.8126,1.9313,-0.014036,0.16035,-0.2572,1.4186,-3.0129,-2.2346,2.1033,0.21243,-0.1604,-0.97323,0.90525,-1.4819
-1.0025,1.1508,-0.78075,-0.69605,-2.8882,-0.18588,-4.1196,0.11967,0.91799,0.14383,-2.0709,-2.024,-0.4756,-1.8526
2.6383,2.0277,-1.079,1.767,-5.0234,1.6333,-2.6097,2.7839,2.252,-0.70113,2.073,-4.3873,1.6766,-2.762
-2.5699,1.9925,1.1747,1.6953,-2.5752,-1.5562,1.3943,-0.16846,1.6516,1.012,1.4714,-1.0139,-2.6922,-0.94644
0.35176,-2.1289,-0.98813,1.5746,-3.4892,0.70968,1.7626,0.047776,-1.6728,-0.32954,1.497,-2.7337,0.72093,2.4397
0.70487,-1.3972,0.97703,-2.2926,-5.9342,-0.2132,-0.098144,0.57007,-0.89936,1.4115,-1.4391,-4.359,-0.072574,-0.051407
-1.3017,0.93258,-1.9141,1.5405,-2.6946,0.41025,-4.1645,-0.35445,0.67699,-0.067666,1.5309,-2.4396,0.53103,-2.4444
0.37781,0.82677,1.3371,2.1272,-1.6997,1.3666,3.2049,0.20778,0.95426,1.2636,2.2195,-1.8489,1.0553,2.4298
1.9527,-1.8545,0.79036,0.41937,-6.0831,0.75353,-3.9391,1.8827,0.32881,0.8519,0.62754,-4.1698,0.70507,-3.1537
1.7967,-1.029,-2.3633,2.0521,-2.4469,-1.4197,0.38455,1.9288,-1.2359,0.0028413,2.1343,-2.9056,-1.5394,0.31867
0.10935,1.6725,2.1913,0.81136,-2.3146,2.1636,-4.4217,0.33503,1.5164,2.5569,0.76945,-2.6886,2.7029,-1.8671
1.5185,0.017423,-0.30808,0.69033,-4.5655,-0.21396,-1.0973,1.3518,-0.073567,0.11816,0.62863,-3.5705,0.11362,-0.56041
-1.8242,1.6026,2.5869,-1.0691,-6.5421,1.9159,2.998,-1.9152,1.6522,2.9994,-0.37265,-4.6131,1.8831,3.6463
-0.86761,0.09958,2.3452,-0.00087749,-5.5179,-1.4517,-4.5517,-0.54307,0.16961,1.5712,-0.69384,-0.58956,-3.8538,2.5586
0.53799,-0.62217,-1.9003,-0.38274,-3.5109,-0.089951,-0.0015323,0.68748,-0.73724,-1.7832,-0.33827,-3.0331,-0.8426,1.5817
2.7674,-0.99129,-2.3732,-1.7362,-5.6963,1.4858,-4.0893,2.5262,0.024818,-2.0395,-1.905,-4.056,0.85898,-2.7265
-2.1886,0.66627,-1.4399,-1.1812,-0.19846,1.2852,-2.4482,-0.77616,0.77884,-1.0243,-0.024473,-2.1413,0.27067,-1.5569
-2.2089,1.1817,1.5285,-0.36155,-4.3284,0.397,-0.10492,-2.0456,1.0896,1.6647,-0.34105,-2.3645,0.24651,0.16996
-2.4931,-0.54682,-1.5778,0.11489,1.0428,-1.1626,-1.9122,-2.1573,-0.50686,-0.92242,-0.13504,1.3156,-1.1977,-0.0025937
2.293,0.60343,1.7349,0.88916,0.42479,-1.54,-4.7087,2.4653,0.53284,1.9261,0.99999,0.66513,-1.8648,-2.7218
-1.481,1.2385,-2.1919,-0.77502,-1.8156,-0.43399,1.4072,-1.9188,1.0831,-0.88174,-0.32673,-2.0994,0.20979,1.951
-0.57432,2.3025,1.5577,1.8717,1.3114,0.2906,2.3403,-0.52498,2.1518,1.4146,1.7892,2.1329,-0.20799,0.45377
2.1992,-1.3121,2.4855,2.1163,-2.2872,-0.061248,-1.0186,2.537,-0.50401,2.4183,2.0805,-2.3577,-0.033277,-1.8543
0.10711,-1.5973,2.0045,-0.34977,-6.352,-1.2006,-5.2461,-1.2349,-0.82387,1.8318,-0.5827,-4.5935,-0.84985,-1.9208
-1.9177,-0.28219,0.65506,-1.2066,1.1216,-0.54135,-4.8478,-0.65185,0.0028556,1.1525,-1.2637,-0.66343,-0.34712,1.0454
-1.3327,-1.1562,-1.3838,-2.5382,-2.5768,-0.47031,-1.7512,-1.472,-1.8582,-1.6286,-1.283,1.2221,1.1294,0.0086758
-0.99571,-0.33425,-0.43346,1.6175,-4.0233,-0.3837,-5.3682,-0.85902,0.057273,-0.79666,1.5218,-4.0235,-0.24443,-2.6339
1.2966,1.0734,1.8677,-1.3779,1.336,0.082309,3.3411,1.4706,1.1553,2.1832,-1.1575,0.59285,-0.11224,1.0145
0.22109,1.5236,2.5145,2.0661,-1.493,0.74741,3.954,0.012741,1.8001,2.5057,2.1162,-1.4606,0.45529,2.2218
0.45992,1.9694,-1.9941,1.2282,-5.5236,2.0842,0.8074,0.64083,1.7669,-2.4841,1.3159,-4.0907,1.5646,0.33353
-0.17051,1.2998,-0.011015,-0.57031,-0.54884,1.7999,2.4421,-0.004943,1.08,0.28185,-0.94241,-1.1147,2.4362,1.4683
